,XLE,XOP
2020-09-24,12.167141914367676,37.55217742919922
2020-09-25,12.159085273742676,37.10574722290039
2020-09-28,12.445131301879883,38.30495834350586
2020-09-29,12.102680206298828,37.15826416015625
2020-09-30,12.066418647766113,36.82564163208008
2020-10-01,11.69576644897461,35.600154876708984
2020-10-02,11.808572769165039,36.431739807128906
2020-10-05,12.163111686706543,38.06863021850586
2020-10-06,11.981812477111816,37.167022705078125
2020-10-07,12.15102481842041,38.21743392944336
2020-10-08,12.60628604888916,39.871826171875
2020-10-09,12.4048433303833,39.259090423583984
2020-10-12,12.4370756149292,39.346614837646484
2020-10-13,12.243688583374023,38.40999984741211
2020-10-14,12.296061515808105,38.593833923339844
2020-10-15,12.445131301879883,39.407894134521484
2020-10-16,12.163111686706543,38.12990188598633
2020-10-19,11.90526294708252,37.3508415222168
2020-10-20,12.046277046203613,38.14741516113281
2020-10-21,11.816631317138672,37.23705291748047
2020-10-22,12.304121971130371,39.18906784057617
2020-10-23,12.243688583374023,39.32036209106445
2020-10-26,11.804543495178223,37.23705291748047
2020-10-27,11.651447296142578,36.7818717956543
2020-10-28,11.163957595825195,34.707305908203125
2020-10-29,11.50640869140625,35.59140396118164
2020-10-30,11.570870399475098,35.52138137817383
2020-11-02,11.965697288513184,36.89567184448242
2020-11-03,11.897207260131836,36.58930206298828
2020-11-04,11.913323402404785,36.45799255371094
2020-11-05,11.913323402404785,36.65932846069336
2020-11-06,11.655478477478027,35.530128479003906
2020-11-09,13.319395065307617,41.28112030029297
2020-11-10,13.750484466552734,42.576629638671875
2020-11-11,13.609471321105957,42.26150131225586
2020-11-12,13.170327186584473,40.56334686279297
2020-11-13,13.649761199951172,42.76921081542969
2020-11-16,14.548192977905273,45.185157775878906
2020-11-17,14.697258949279785,45.920433044433594
2020-11-18,14.270203590393066,44.931312561035156
2020-11-19,14.503874778747559,46.01673126220703
2020-11-20,14.427330017089844,45.57029724121094
2020-11-23,15.446630477905273,49.631900787353516
2020-11-24,16.240314483642578,52.187896728515625
2020-11-25,15.861601829528809,51.40009689331055
2020-11-27,15.676274299621582,50.664791107177734
2020-11-30,14.810068130493164,47.32099151611328
2020-12-01,14.878561019897461,47.0933952331543
2020-12-02,15.362022399902344,48.61650085449219
2020-12-03,15.523174285888672,49.23798751831055
2020-12-04,16.369239807128906,53.395851135253906
2020-12-07,15.986492156982422,51.618919372558594
2020-12-08,16.224199295043945,52.406734466552734
2020-12-09,16.260459899902344,52.78312301635742
2020-12-10,16.760028839111328,55.75928497314453
2020-12-11,16.566650390625,54.691368103027344
2020-12-14,15.986492156982422,52.47675323486328
2020-12-15,16.30074691772461,53.597190856933594
2020-12-16,16.220165252685547,52.87941360473633
2020-12-17,16.143613815307617,52.87941360473633
2020-12-18,15.873690605163574,52.187896728515625
2020-12-21,15.56748104095459,51.2825927734375
2020-12-22,15.30618667602539,50.40280532836914
2020-12-23,15.645050048828125,52.672645568847656
2020-12-24,15.563401222229004,51.90723419189453
2020-12-28,15.465413093566895,50.95707321166992
2020-12-29,15.363344192504883,50.49078369140625
2020-12-30,15.604228973388672,52.18877029418945
2020-12-31,15.473580360412598,51.46734619140625
2021-01-04,15.49807357788086,51.933631896972656
2021-01-05,16.192140579223633,55.26801681518555
2021-01-06,16.686153411865234,57.41468048095703
2021-01-07,16.931116104125977,58.53200912475586
2021-01-08,16.91069984436035,57.62583541870117
2021-01-11,17.176084518432617,58.839935302734375
2021-01-12,17.776243209838867,62.13032913208008
2021-01-13,17.637434005737305,61.004188537597656
2021-01-14,18.160022735595703,63.089298248291016
2021-01-15,17.453710556030273,60.942604064941406
2021-01-19,17.804824829101562,62.024742126464844
2021-01-20,17.870149612426758,61.68162536621094
2021-01-21,17.26590347290039,59.6053466796875
2021-01-22,17.176084518432617,59.86928176879883
2021-01-25,17.000516891479492,59.684513092041016
2021-01-26,16.63715934753418,58.11851501464844
2021-01-27,16.412607192993164,58.80474090576172
2021-01-28,16.60449981689453,58.72557830810547
2021-01-29,16.053327560424805,56.58769226074219
2021-02-01,16.16764259338379,57.71380615234375
2021-02-02,16.34320068359375,58.021728515625
2021-02-03,17.041351318359375,61.19775390625
2021-02-04,17.229156494140625,61.40890121459961
2021-02-05,17.376136779785156,61.59366989135742
2021-02-08,18.10286521911621,65.55268859863281
2021-02-09,17.910978317260742,64.41777038574219
2021-02-10,18.253929138183594,65.89580535888672
2021-02-11,17.97221565246582,64.67289733886719
2021-02-12,18.237592697143555,66.53805541992188
2021-02-16,18.694856643676758,68.77269744873047
2021-02-17,18.97248077392578,69.5468978881836
2021-02-18,18.54379653930664,66.49407196044922
2021-02-19,18.854089736938477,68.21842193603516
2021-02-22,19.507322311401367,70.32111358642578
2021-02-23,19.829856872558594,71.83435821533203
2021-02-24,20.532093048095703,74.658447265625
2021-02-25,20.136066436767578,72.4501953125
2021-02-26,19.658384323120117,70.83137512207031
2021-03-01,20.168731689453125,72.82849884033203
2021-03-02,20.05849838256836,72.2566146850586
2021-03-03,20.352447509765625,73.72589111328125
2021-03-04,20.838298797607422,76.18046569824219
2021-03-05,21.61810302734375,79.18053436279297
2021-03-08,21.6589298248291,78.01922607421875
2021-03-09,21.279232025146484,75.92536926269531
2021-03-10,21.818153381347656,78.64386749267578
2021-03-11,21.82632064819336,80.1570816040039
2021-03-12,21.87122917175293,79.567626953125
2021-03-15,21.622182846069336,79.057373046875
2021-03-16,21.005691528320312,76.63796997070312
2021-03-17,21.168994903564453,76.9810791015625
2021-03-18,20.217723846435547,71.79035949707031
2021-03-19,20.221803665161133,73.68189239501953
2021-03-22,20.027877807617188,72.65780639648438
2021-03-23,19.73492431640625,69.17644500732422
2021-03-24,20.23005485534668,70.21026611328125
2021-03-25,20.3043270111084,71.40308380126953
2021-03-26,20.80770492553711,73.62091827392578
2021-03-29,20.560136795043945,71.4649429321289
2021-03-30,20.382722854614258,71.35005950927734
2021-03-31,20.242433547973633,71.87137603759766
2021-04-01,20.75819206237793,75.60015106201172
2021-04-05,20.2630672454834,71.950927734375
2021-04-06,20.20942497253418,72.4545669555664
2021-04-07,20.279569625854492,72.28668975830078
2021-04-08,20.015501022338867,70.73157501220703
2021-04-09,19.883466720581055,69.3531723022461
2021-04-12,19.72667694091797,67.6743392944336
2021-04-13,19.747310638427734,67.85987091064453
2021-04-14,20.296070098876953,70.72273254394531
2021-04-15,20.131027221679688,69.63591003417969
2021-04-16,19.970117568969727,68.48725891113281
2021-04-19,19.949481964111328,68.4695816040039
2021-04-20,19.421350479125977,65.3858413696289
2021-04-21,19.668912887573242,66.68472290039062
2021-04-22,19.43785285949707,66.12803649902344
2021-04-23,19.615272521972656,67.04698181152344
2021-04-26,19.747310638427734,68.72581481933594
2021-04-27,19.986616134643555,70.03352355957031
2021-04-28,20.675670623779297,73.02892303466797
2021-04-29,20.906726837158203,72.97591400146484
2021-04-30,20.378597259521484,70.86409759521484
2021-05-03,20.939735412597656,73.28515625
2021-05-04,20.95211410522461,73.17913055419922
2021-05-05,21.628786087036133,75.1230239868164
2021-05-06,21.740190505981445,74.69007110595703
2021-05-07,22.128040313720703,76.56327056884766
2021-05-10,22.136293411254883,75.60899353027344
2021-05-11,21.566896438598633,74.69890594482422
2021-05-12,21.6700496673584,74.4161605834961
2021-05-13,21.405986785888672,72.09230041503906
2021-05-14,22.070276260375977,76.30704498291016
2021-05-17,22.5819091796875,79.25823211669922
2021-05-18,22.057897567749023,78.03004455566406
2021-05-19,21.509138107299805,76.3954086303711
2021-05-20,21.476125717163086,76.05962371826172
2021-05-21,21.521514892578125,76.5279312133789
2021-05-24,21.736066818237305,77.42918395996094
2021-05-25,21.294578552246094,75.37042236328125
2021-05-26,21.484376907348633,77.46453094482422
2021-05-27,21.50088119506836,78.6750717163086
2021-05-28,21.542144775390625,78.70157623291016
2021-06-01,22.371482849121094,83.79106903076172
2021-06-02,22.788211822509766,85.13411712646484
2021-06-03,22.850101470947266,85.22249603271484
2021-06-04,23.002763748168945,85.19596862792969
2021-06-07,22.903738021850586,86.0177230834961
2021-06-08,23.101791381835938,86.85711669921875
2021-06-09,22.957382202148438,86.37998962402344
2021-06-10,22.928503036499023,85.45221710205078
2021-06-11,22.850101470947266,86.02655792236328
2021-06-14,22.751075744628906,85.08110809326172
2021-06-15,23.184314727783203,86.56553649902344
2021-06-16,23.060529708862305,86.10607147216797
2021-06-17,22.276580810546875,82.19178009033203
2021-06-18,21.616409301757812,80.41574096679688
2021-06-21,22.537588119506836,84.5916748046875
2021-06-22,22.687646865844727,85.0617446899414
2021-06-23,22.750171661376953,86.06405639648438
2021-06-24,22.946075439453125,87.43889617919922
2021-06-25,23.066953659057617,88.47664642333984
2021-06-28,22.287492752075195,84.61827850341797
2021-06-29,22.179119110107422,84.1659164428711
2021-06-30,22.4542236328125,85.76249694824219
2021-07-01,22.846036911010742,87.79367065429688
2021-07-02,22.796018600463867,86.20598602294922
2021-07-06,22.054075241088867,82.69352722167969
2021-07-07,21.695606231689453,80.77762603759766
2021-07-08,21.57056427001953,81.22998046875
2021-07-09,22.029067993164062,83.27892303466797
2021-07-12,21.99571990966797,82.6757583618164
2021-07-13,21.828994750976562,81.62913513183594
2021-07-14,21.178747177124023,77.59336853027344
2021-07-15,20.882801055908203,76.03226470947266
2021-07-16,20.29091453552246,73.01652526855469
2021-07-19,19.5739803314209,70.03626251220703
2021-07-20,19.836580276489258,71.72151184082031
2021-07-21,20.528505325317383,75.17188262939453
2021-07-22,20.299259185791016,73.64627838134766
2021-07-23,20.224220275878906,72.89236450195312
2021-07-26,20.724411010742188,75.12755584716797
2021-07-27,20.532670974731445,72.80363464355469
2021-07-28,20.720243453979492,74.42681884765625
2021-07-29,20.92031478881836,74.32039642333984
2021-07-30,20.58686065673828,73.4422836303711
2021-08-02,20.43263816833496,71.97875213623047
2021-08-03,20.78276824951172,73.46001434326172
2021-08-04,20.220056533813477,70.16043090820312
2021-08-05,20.449304580688477,72.04083251953125
2021-08-06,20.636878967285156,72.84797668457031
2021-08-09,20.345108032226562,71.6417007446289
2021-08-10,20.70356559753418,73.61965942382812
2021-08-11,20.866127014160156,73.88577270507812
2021-08-12,20.845287322998047,73.6640396118164
2021-08-13,20.5993709564209,71.1627426147461
2021-08-16,20.220056533813477,69.07831573486328
2021-08-17,20.01164436340332,68.59933471679688
2021-08-18,19.59482192993164,66.67459106445312
2021-08-19,19.0862979888916,64.64338684082031
2021-08-20,19.127981185913086,64.90060424804688
2021-08-23,19.84491729736328,68.1824722290039
2021-08-24,20.174205780029297,70.22251892089844
2021-08-25,20.328432083129883,71.4820556640625
2021-08-26,20.019977569580078,70.26688385009766
2021-08-27,20.553512573242188,73.97447204589844
2021-08-30,20.311758041381836,72.75042724609375
2021-08-31,20.174205780029297,73.30924224853516
2021-09-01,19.878263473510742,72.75929260253906
2021-09-02,20.382619857788086,75.18077087402344
2021-09-03,20.265907287597656,74.96785736083984
2021-09-07,20.145029067993164,74.75501251220703
2021-09-08,19.886598587036133,73.8946304321289
2021-09-09,19.92827796936035,74.81709289550781
2021-09-10,19.91994285583496,74.21393585205078
2021-09-13,20.49099349975586,77.2740478515625
2021-09-14,20.19504737854004,75.3404312133789
2021-09-15,20.949493408203125,79.76646423339844
2021-09-16,20.71190643310547,78.72869873046875
2021-09-17,20.55768394470215,78.0102310180664
2021-09-20,19.929914474487305,75.15625762939453
2021-09-21,19.976320266723633,75.32545471191406
2021-09-22,20.592281341552734,78.11265563964844
2021-09-23,21.313703536987305,81.5142593383789
2021-09-24,21.47402000427246,81.96841430664062
2021-09-27,22.237634658813477,87.87226104736328
2021-09-28,22.313575744628906,86.68794250488281
2021-09-29,22.313575744628906,86.40299224853516
2021-09-30,21.976064682006836,86.1269302368164
2021-10-01,22.714365005493164,88.37094116210938
2021-10-04,23.08562660217285,90.61495208740234
2021-10-05,23.22062873840332,91.15812683105469
2021-10-06,22.97593879699707,89.12784576416016
2021-10-07,23.153127670288086,91.53213500976562
2021-10-08,23.866117477416992,93.82955932617188
2021-10-11,23.77751922607422,93.50900268554688
2021-10-12,23.798612594604492,93.21513366699219
2021-10-13,23.77751922607422,92.82331848144531
2021-10-14,24.068620681762695,94.22137451171875
2021-10-15,24.186752319335938,93.68708038330078
2021-10-18,24.203624725341797,94.17686462402344
2021-10-19,24.477855682373047,94.93375396728516
2021-10-20,24.676137924194336,96.13589477539062
2021-10-21,24.22049903869629,94.06108856201172
2021-10-22,24.448318481445312,95.79752349853516
2021-10-25,24.80691909790039,98.5669174194336
2021-10-26,24.950359344482422,98.41551971435547
2021-10-27,24.2331600189209,94.23917388916016
2021-10-28,24.406126022338867,95.3077392578125
2021-10-29,24.245811462402344,94.71112823486328
2021-11-01,24.663484573364258,97.57848358154297
2021-11-02,24.431446075439453,96.54551696777344
2021-11-03,24.228940963745117,95.64614868164062
2021-11-04,24.2626895904541,95.07623291015625
2021-11-05,24.5791015625,97.69425201416016
2021-11-08,24.802703857421875,99.26148223876953
2021-11-09,24.90395736694336,99.0655746459961
2021-11-10,24.245811462402344,94.42619323730469
2021-11-11,24.338632583618164,95.86875915527344
2021-11-12,24.279563903808594,95.65504455566406
2021-11-15,24.482065200805664,96.3050765991211
2021-11-16,24.520038604736328,95.77970123291016
2021-11-17,24.14455795288086,92.37808990478516
2021-11-18,24.001117706298828,92.57398986816406
2021-11-19,23.064533233642578,87.9524154663086
2021-11-22,23.473764419555664,89.34156799316406
2021-11-23,24.1951904296875,92.9390869140625
2021-11-24,24.431446075439453,94.15904998779297
2021-11-26,23.448448181152344,87.97914123535156
2021-11-29,23.583454132080078,89.07442474365234
2021-11-30,23.030780792236328,86.72355651855469
2021-12-01,22.786083221435547,83.28630065917969
2021-12-02,23.448448181152344,85.98444366455078
2021-12-03,23.2628173828125,84.71110534667969
2021-12-06,23.6087646484375,87.311279296875
2021-12-07,24.16143226623535,90.81977081298828
2021-12-08,24.157217025756836,90.98892974853516
2021-12-09,23.97158432006836,89.35936737060547
2021-12-10,24.148780822753906,90.43685913085938
2021-12-13,23.477981567382812,86.36735534667969
2021-12-14,23.380945205688477,84.83573913574219
2021-12-15,23.267038345336914,85.17413330078125
2021-12-16,23.414697647094727,84.36378479003906
2021-12-17,22.93796730041504,83.3575439453125
2021-12-20,22.653778076171875,81.41331481933594
2021-12-21,23.299076080322266,85.25345611572266
2021-12-22,23.448650360107422,85.74579620361328
