Date,ADI,AMAT,AMD,ASML,AVGO,INTC,KLAC,LRCX,MCHP,MRVL,MU,NVDA,NXPI,ON,QCOM,SMH,SOXX,STM,TER,TSM,TXN
2023-03-02,175.01577758789062,115.28144073486328,80.44000244140625,605.720458984375,57.027610778808594,25.571918487548828,36.758052825927734,47.395355224609375,74.84170532226562,45.68952941894531,55.58919143676758,23.262311935424805,169.29666137695312,76.75,115.17318725585938,119.21500396728516,134.4983673095703,46.23717498779297,100.77410125732422,84.53190612792969,157.43202209472656
2023-03-03,176.58966064453125,115.77778625488281,81.5199966430664,618.5398559570312,60.27694320678711,25.76712417602539,37.07091522216797,47.556888580322266,76.27296447753906,43.525123596191406,55.9339714050293,23.8370304107666,171.48045349121094,78.94000244140625,115.00570678710938,120.83295440673828,136.57168579101562,47.156494140625,101.7418441772461,85.25350189208984,158.87899780273438
2023-03-06,175.8975372314453,115.3690414428711,81.16000366210938,602.6148681640625,60.29219055175781,25.366952896118164,36.890193939208984,46.93491744995117,75.69123077392578,41.775821685791016,55.983219146728516,23.501779556274414,168.64993286132812,77.41000366210938,113.89845275878906,119.75761413574219,134.9833221435547,46.943599700927734,100.37911224365234,85.05410766601562,156.50050354003906
2023-03-07,175.34759521484375,113.2571029663086,82.11000061035156,591.10546875,59.552005767822266,24.917980194091797,36.475303649902344,46.39710998535156,75.82049560546875,40.62937927246094,54.73215103149414,23.240312576293945,166.269287109375,78.69999694824219,110.90235137939453,118.42083740234375,133.5609130859375,46.03395080566406,99.32247924804688,84.36099243164062,155.60520935058594
2023-03-08,176.89306640625,115.47611236572266,85.37000274658203,601.0914306640625,60.22932052612305,25.35719108581543,37.642242431640625,47.72616958618164,78.04589080810547,42.645538330078125,56.04233169555664,24.131484985351562,171.05868530273438,83.0999984741211,112.77256774902344,121.51860809326172,137.1120147705078,47.78550338745117,101.95909881591797,86.24095153808594,159.36734008789062
2023-03-09,174.03916931152344,113.90917205810547,84.02999877929688,586.8645629882812,59.30146408081055,25.80616569519043,36.773597717285156,47.424373626708984,76.88240051269531,40.43172073364258,54.77155303955078,23.38801383972168,168.5468292236328,81.41000366210938,109.0693130493164,119.19034576416016,134.3876495361328,46.972633361816406,100.86297607421875,84.38947296142578,156.85321044921875
2023-03-10,172.33250427246094,111.33006286621094,82.66999816894531,583.4390869140625,58.56892395019531,26.567466735839844,35.708683013916016,46.315860748291016,75.32186889648438,38.2277946472168,54.111534118652344,22.917980194091797,164.0667724609375,78.37999725341797,107.18047332763672,117.26163482666016,131.79025268554688,46.73069381713867,100.02361297607422,82.84183502197266,155.225341796875
2023-03-13,173.08157348632812,112.74125671386719,82.01000213623047,586.9035034179688,58.72514724731445,26.303937911987305,35.44731903076172,46.13980484008789,75.05408477783203,37.545860290527344,53.09688949584961,22.918977737426758,163.95425415039062,77.75,106.47332763671875,117.18270874023438,131.82933044433594,46.256526947021484,101.44559478759766,83.30707550048828,157.26019287109375
2023-03-14,176.90255737304688,117.12090301513672,87.44999694824219,601.9646606445312,60.24836349487305,27.33852767944336,36.82703399658203,47.955692291259766,76.86394500732422,38.158607482910156,53.46137237548828,24.013729095458984,168.57740783691406,81.19999694824219,108.44590759277344,120.68989562988281,135.68312072753906,47.72743606567383,103.85508728027344,84.77877807617188,158.92422485351562
2023-03-15,173.44186401367188,115.31065368652344,89.68000030517578,588.7570190429688,59.63679122924805,27.728939056396484,35.980735778808594,47.282928466796875,74.34306335449219,37.180179595947266,53.323448181152344,24.178390502929688,164.59910583496094,78.0,107.4596176147461,119.3333969116211,134.10122680664062,45.811378479003906,101.34683227539062,82.31961059570312,157.71237182617188
