,AMAT,LRCX
2021-06-03,130.75448608398438,60.232757568359375
2021-06-04,134.0813751220703,62.0830078125
2021-06-07,133.23765563964844,61.54015350341797
2021-06-08,130.25596618652344,60.400447845458984
2021-06-09,129.09585571289062,60.0726432800293
2021-06-10,131.5023193359375,60.70550537109375
2021-06-11,131.17637634277344,60.832454681396484
2021-06-14,133.29522705078125,61.602684020996094
2021-06-15,132.9212646484375,61.08436584472656
2021-06-16,131.32974243164062,60.63441848754883
2021-06-17,131.65573120117188,60.73312759399414
2021-06-18,125.81693267822266,58.15867614746094
2021-06-21,127.56183624267578,58.72445297241211
2021-06-22,127.93574523925781,59.0253791809082
2021-06-23,129.9108123779297,59.25605392456055
2021-06-24,132.5569305419922,60.281280517578125
2021-06-25,130.5723114013672,59.84650802612305
2021-06-28,135.1743621826172,61.41471862792969
2021-06-29,136.06597900390625,61.87322235107422
2021-06-30,136.52618408203125,61.76974105834961
2021-07-01,132.2597198486328,60.09615707397461
2021-07-02,132.46107482910156,59.941429138183594
2021-07-06,131.1379852294922,59.03581619262695
2021-07-07,129.30677795410156,58.2469596862793
2021-07-08,127.06328582763672,57.5293083190918
2021-07-09,129.3355255126953,58.17672348022461
2021-07-12,131.15716552734375,59.369956970214844
2021-07-13,130.66819763183594,59.298770904541016
2021-07-14,130.0545654296875,58.65420913696289
2021-07-15,127.7056655883789,57.976417541503906
2021-07-16,122.89271545410156,55.86332321166992
2021-07-19,123.31456756591797,56.15190887451172
2021-07-20,126.52640533447266,57.62993240356445
2021-07-21,132.30767822265625,60.49296951293945
2021-07-22,131.521484375,60.36765670776367
2021-07-23,132.7198944091797,60.77964782714844
2021-07-26,132.76785278320312,60.79104232788086
2021-07-27,129.3355255126953,59.101322174072266
2021-07-28,131.55029296875,60.27937698364258
2021-07-29,131.82827758789062,58.82033920288086
2021-07-30,134.15806579589844,60.508155822753906
2021-08-02,136.15223693847656,60.92488479614258
2021-08-03,136.29608154296875,61.27802658081055
2021-08-04,136.871337890625,61.682411193847656
2021-08-05,136.40155029296875,61.29130935668945
2021-08-06,136.76585388183594,61.5096435546875
2021-08-09,136.14266967773438,60.80147933959961
2021-08-10,132.36520385742188,58.58681106567383
2021-08-11,129.2588348388672,57.76567840576172
2021-08-12,123.88983154296875,55.39153289794922
2021-08-13,124.541748046875,55.097251892089844
2021-08-16,126.25799560546875,55.90034103393555
2021-08-17,123.48716735839844,54.96245193481445
2021-08-18,122.11614990234375,54.06254196166992
2021-08-19,123.87065124511719,54.78683090209961
2021-08-20,121.953125,53.72648620605469
2021-08-23,126.0661849975586,55.46651840209961
2021-08-24,126.01825714111328,55.58803176879883
2021-08-25,127.57427978515625,55.890846252441406
2021-08-26,127.25733184814453,55.566192626953125
2021-08-27,131.15696716308594,57.86725997924805
2021-08-30,130.67674255371094,57.715370178222656
2021-08-31,129.79306030273438,57.41444778442383
2021-09-01,128.1890106201172,56.936012268066406
2021-09-02,129.139892578125,57.15624237060547
2021-09-03,130.4653778076172,57.97357177734375
2021-09-07,131.09933471679688,56.310428619384766
2021-09-08,128.28504943847656,55.39436721801758
2021-09-09,129.66818237304688,56.35030746459961
2021-09-10,131.4354705810547,56.7774772644043
2021-09-13,133.93284606933594,57.789405822753906
2021-09-14,134.6051483154297,57.28913116455078
2021-09-15,135.65211486816406,58.04856491088867
2021-09-16,138.39913940429688,58.46150207519531
2021-09-17,135.2390899658203,57.8093376159668
2021-09-20,130.17726135253906,55.99906921386719
2021-09-21,129.841064453125,55.64878463745117
2021-09-22,132.64573669433594,57.061309814453125
2021-09-23,135.53683471679688,58.14919662475586
2021-09-24,136.31484985351562,58.1415901184082
2021-09-27,137.1024627685547,58.68305969238281
2021-09-28,127.6415023803711,55.76161575317383
2021-09-29,123.2039794921875,54.00492858886719
2021-09-30,123.64579010009766,54.1609992980957
2021-10-01,124.03003692626953,54.2161865234375
2021-10-04,120.25521850585938,52.35198211669922
2021-10-05,123.01189422607422,52.900115966796875
2021-10-06,121.5230941772461,52.5032844543457
2021-10-07,122.8293685913086,52.89250946044922
2021-10-08,121.23494720458984,52.353885650634766
2021-10-11,122.46438598632812,52.57086181640625
2021-10-12,121.75360870361328,52.032249450683594
2021-10-13,123.14635467529297,51.80670928955078
2021-10-14,126.8538818359375,54.0449104309082
2021-10-15,126.39283752441406,53.71565246582031
2021-10-18,128.01614379882812,54.1181755065918
2021-10-19,129.28396606445312,54.32087326049805
2021-10-20,128.6884765625,53.813655853271484
2021-10-21,128.07371520996094,52.85443115234375
2021-10-22,130.56143188476562,52.98004913330078
2021-10-25,130.3981475830078,52.526123046875
2021-10-26,126.78667449951172,52.237796783447266
2021-10-27,126.94035339355469,52.68314743041992
2021-10-28,130.6479034423828,53.856483459472656
2021-10-29,131.2529754638672,53.62999725341797
2021-11-01,134.0000457763672,54.50453186035156
2021-11-02,135.63290405273438,54.64537811279297
2021-11-03,137.1121063232422,55.32672119140625
2021-11-04,144.2006072998047,56.97586441040039
2021-11-05,147.23577880859375,58.12160873413086
2021-11-08,146.91885375976562,57.95983123779297
2021-11-09,150.11732482910156,59.18170928955078
2021-11-10,144.45994567871094,57.646751403808594
2021-11-11,147.82171630859375,58.40044021606445
2021-11-12,150.6264190673828,59.42055130004883
2021-11-15,150.09811401367188,59.97631072998047
2021-11-16,151.62533569335938,60.3569450378418
2021-11-17,149.81956481933594,60.01150894165039
2021-11-18,152.47055053710938,60.50349044799805
2021-11-19,144.10459899902344,61.33138656616211
2021-11-22,141.72250366210938,61.54075241088867
2021-11-23,143.03839111328125,62.9320068359375
2021-11-24,143.35586547851562,62.88157653808594
2021-11-26,137.8529510498047,61.09158706665039
2021-11-29,145.48202514648438,64.76101684570312
2021-11-30,141.60498046875,64.69535064697266
2021-12-01,145.9149627685547,65.9971694946289
2021-12-02,140.9314727783203,62.95104217529297
2021-12-03,140.29656982421875,62.946292877197266
2021-12-06,141.78773498535156,63.52579879760742
2021-12-07,150.93685913085938,67.19807434082031
2021-12-08,151.32171630859375,67.94795989990234
2021-12-09,146.8577423095703,66.55477142333984
2021-12-10,146.93470764160156,67.18000793457031
2021-12-13,141.51834106445312,65.18257904052734
2021-12-14,142.12445068359375,64.77629089355469
2021-12-15,147.8294677734375,66.50249481201172
2021-12-16,141.13356018066406,64.02001953125
2021-12-17,140.60443115234375,63.81878662109375
2021-12-20,139.5076446533203,63.047237396240234
2021-12-21,145.67440795898438,65.14441680908203
2021-12-22,146.54029846191406,65.92168426513672
2021-12-23,149.58999633789062,66.63695526123047
2021-12-27,156.54568481445312,68.99068450927734
2021-12-28,153.58253479003906,68.29450988769531
2021-12-29,154.87167358398438,69.31019592285156
2021-12-30,151.9855499267578,68.5071792602539
2021-12-31,151.3890380859375,68.58538055419922
2022-01-03,153.8615264892578,69.1871566772461
2022-01-04,152.35110473632812,67.90347290039062
2022-01-05,147.90640258789062,65.97795867919922
2022-01-06,150.40773010253906,66.9411849975586
2022-01-07,145.08758544921875,63.83021545410156
2022-01-10,143.9138641357422,63.3533821105957
2022-01-11,146.6653594970703,64.20408630371094
2022-01-12,153.49595642089844,65.45437622070312
2022-01-13,151.2158660888672,65.4972915649414
2022-01-14,160.6632537841797,69.60297393798828
2022-01-18,146.57875061035156,64.75723266601562
2022-01-19,137.64129638671875,61.29719924926758
2022-01-20,133.8700408935547,59.097957611083984
2022-01-21,129.93521118164062,57.77422332763672
2022-01-24,134.00469970703125,59.303001403808594
2022-01-25,127.9437484741211,56.09952926635742
2022-01-26,130.43545532226562,56.904449462890625
2022-01-27,125.21150207519531,52.958980560302734
2022-01-28,127.42424774169922,53.515953063964844
2022-01-31,132.93682861328125,56.26070785522461
2022-02-01,133.3505096435547,56.2177848815918
2022-02-02,135.41888427734375,58.34453582763672
2022-02-03,131.33018493652344,56.15007781982422
2022-02-04,130.42587280273438,55.22593688964844
2022-02-07,130.96461486816406,54.49159240722656
2022-02-08,133.4851837158203,54.960811614990234
2022-02-09,138.72837829589844,57.93158721923828
2022-02-10,134.46649169921875,56.732784271240234
2022-02-11,127.4627456665039,53.406280517578125
2022-02-14,126.85659790039062,53.24032974243164
2022-02-15,134.5338134765625,56.63264846801758
2022-02-16,135.61134338378906,56.40852355957031
2022-02-17,131.2917022705078,55.372798919677734
2022-02-18,128.29006958007812,54.35997772216797
2022-02-22,125.54328155517578,53.380523681640625
2022-02-23,123.23018646240234,51.72776794433594
2022-02-24,128.58885192871094,53.68190002441406
2022-02-25,130.80557250976562,54.66611862182617
2022-02-28,129.3406219482422,53.53597640991211
2022-03-01,124.91682434082031,51.554195404052734
2022-03-02,128.35752868652344,52.836917877197266
2022-03-03,125.90953063964844,51.8345832824707
2022-03-04,121.18695068359375,50.14366912841797
2022-03-07,114.90304565429688,46.650264739990234
2022-03-08,119.65452575683594,46.76660919189453
2022-03-09,123.9626693725586,49.33588790893555
2022-03-10,120.44485473632812,47.40559005737305
2022-03-11,119.16301727294922,46.100929260253906
2022-03-14,115.78009796142578,44.72855758666992
2022-03-15,119.90511322021484,46.37609100341797
2022-03-16,125.75531768798828,49.224369049072266
2022-03-17,127.21063995361328,50.356224060058594
2022-03-18,130.24656677246094,52.109004974365234
2022-03-21,129.3406219482422,51.364646911621094
2022-03-22,130.5742645263672,52.31182861328125
2022-03-23,126.66128540039062,50.80302810668945
2022-03-24,133.5716552734375,53.216941833496094
2022-03-25,132.09707641601562,53.082984924316406
2022-03-28,132.6753692626953,53.32121658325195
2022-03-29,136.31846618652344,54.4329719543457
2022-03-30,130.8826904296875,52.48405838012695
2022-03-31,127.02753448486328,51.436397552490234
2022-04-01,122.7964859008789,50.272979736328125
2022-04-04,124.75297546386719,51.23931121826172
2022-04-05,117.3028793334961,48.186279296875
2022-04-06,115.00907897949219,47.662933349609375
2022-04-07,117.9678955078125,48.15758514404297
2022-04-08,115.61624145507812,47.03818130493164
2022-04-11,112.03095245361328,45.51884078979492
2022-04-12,110.4117660522461,44.680721282958984
2022-04-13,112.62850952148438,45.21746063232422
2022-04-14,109.25523376464844,43.64358901977539
2022-04-18,110.71056365966797,45.02037048339844
2022-04-19,112.8212661743164,45.84700012207031
2022-04-20,113.62120819091797,46.0632438659668
2022-04-21,111.5008773803711,44.920867919921875
2022-04-22,108.71551513671875,44.310455322265625
2022-04-25,110.3250503540039,45.58198547363281
2022-04-26,104.97599792480469,43.7450065612793
2022-04-27,104.87000274658203,43.70290756225586
2022-04-28,110.47925567626953,46.354095458984375
2022-04-29,106.3542251586914,44.56208038330078
2022-05-02,108.8793716430664,45.85944366455078
2022-05-03,109.67930603027344,46.44020462036133
2022-05-04,114.50788879394531,48.40442657470703
2022-05-05,109.36125183105469,46.0507926940918
2022-05-06,108.4263687133789,45.755157470703125
2022-05-09,101.92079162597656,42.78154754638672
2022-05-10,103.29901885986328,43.92678451538086
2022-05-11,100.15705871582031,42.78632736206055
2022-05-12,102.89422607421875,44.0521240234375
2022-05-13,107.8095474243164,47.06495666503906
2022-05-16,106.47953033447266,46.160823822021484
2022-05-17,112.60922241210938,49.0119743347168
2022-05-18,107.3083724975586,45.68339538574219
2022-05-19,106.73011016845703,45.171539306640625
2022-05-20,102.60506439208984,45.3619270324707
2022-05-23,105.9494400024414,46.240238189697266
2022-05-24,102.7303695678711,45.060546875
2022-05-25,104.85591125488281,46.64973068237305
2022-05-26,111.17451477050781,48.71920394897461
2022-05-27,115.43521118164062,50.80588912963867
2022-05-31,113.31935119628906,49.754417419433594
2022-06-01,110.58516693115234,48.39198684692383
2022-06-02,113.35798645019531,50.06727600097656
2022-06-03,111.06822204589844,49.17557144165039
2022-06-06,111.10687255859375,49.39371871948242
2022-06-07,111.75418090820312,50.08068084716797
2022-06-08,108.6528549194336,48.99857711791992
2022-06-09,103.60958862304688,47.21134567260742
2022-06-10,98.43103790283203,45.38967514038086
2022-06-13,93.05926513671875,42.77485275268555
2022-06-14,93.3490982055664,43.17708206176758
2022-06-15,94.12200927734375,43.548587799072266
2022-06-16,86.55709838867188,40.1560173034668
2022-06-17,86.7889633178711,40.26737976074219
2022-06-21,91.94816589355469,41.5710334777832
2022-06-22,90.75981903076172,40.859683990478516
2022-06-23,90.12216186523438,40.71088790893555
2022-06-24,94.06404113769531,43.217403411865234
2022-06-27,94.30558776855469,43.17899703979492
2022-06-28,91.80325317382812,42.0721435546875
2022-06-29,88.82754516601562,40.99600601196289
2022-06-30,87.90003204345703,40.909603118896484
2022-07-01,83.34947204589844,37.90294647216797
2022-07-05,83.08861541748047,37.32119369506836
2022-07-06,83.6296615600586,37.60150909423828
2022-07-07,87.67781829833984,39.82770538330078
2022-07-08,88.10291290283203,39.850746154785156
2022-07-11,85.61993408203125,38.630611419677734
2022-07-12,85.72621154785156,38.962764739990234
2022-07-13,86.06433868408203,39.552188873291016
2022-07-14,88.56666564941406,40.25394058227539
2022-07-15,91.27188110351562,41.00367736816406
2022-07-18,89.98690795898438,40.62257385253906
2022-07-19,94.90460205078125,42.90540313720703
2022-07-20,98.76917266845703,44.64873123168945
2022-07-21,100.3246841430664,45.70759201049805
2022-07-22,98.22813415527344,44.54216766357422
2022-07-25,97.580810546875,43.91434860229492
2022-07-26,95.56156921386719,42.93323516845703
2022-07-27,99.95755767822266,44.89448547363281
2022-07-28,101.5999984741211,46.55333709716797
2022-07-29,102.3922348022461,48.04801940917969
2022-08-01,102.7979965209961,48.26786804199219
2022-08-02,101.43573760986328,48.25345230102539
2022-08-03,105.31964874267578,50.3692512512207
2022-08-04,107.30026245117188,51.05660629272461
2022-08-05,105.90900421142578,49.916160583496094
2022-08-08,104.17962646484375,48.914886474609375
2022-08-09,96.28619384765625,45.0615234375
2022-08-10,101.49372100830078,47.5142707824707
2022-08-11,101.95746612548828,47.75522994995117
2022-08-12,106.64326477050781,49.78367233276367
2022-08-15,106.06359100341797,49.65887451171875
2022-08-16,104.8172607421875,48.99360656738281
2022-08-17,102.41155242919922,47.764835357666016
2022-08-18,104.60469818115234,48.30146026611328
2022-08-19,101.08792877197266,45.77095031738281
2022-08-22,97.39725494384766,43.92586898803711
2022-08-23,98.47931671142578,44.540245056152344
2022-08-24,98.29530334472656,44.448097229003906
2022-08-25,101.70484161376953,45.90534591674805
2022-08-26,95.69940185546875,43.51692199707031
2022-08-29,93.51032257080078,42.675010681152344
2022-08-30,91.5537109375,42.4964599609375
2022-08-31,91.11785125732422,42.038543701171875
2022-09-01,88.92877197265625,41.475032806396484
2022-09-02,88.37665557861328,41.29935073852539
2022-09-06,87.45646667480469,40.96816635131836
2022-09-07,89.05469512939453,41.4712028503418
2022-09-08,90.84664154052734,42.158538818359375
2022-09-09,93.48126983642578,43.2740364074707
2022-09-12,93.2778549194336,42.9399528503418
2022-09-13,87.5533218383789,40.52156448364258
2022-09-14,87.79548645019531,40.644920349121094
2022-09-15,86.12945556640625,39.84313201904297
2022-09-16,86.0810317993164,39.436439514160156
2022-09-19,86.90434265136719,39.436439514160156
2022-09-20,85.35457611083984,38.87557601928711
2022-09-21,84.35688781738281,38.41781234741211
2022-09-22,82.37122344970703,37.278724670410156
2022-09-23,81.64476776123047,36.67448806762695
2022-09-26,80.33714294433594,35.795597076416016
2022-09-27,81.50917053222656,36.30249786376953
2022-09-28,83.30110168457031,36.77952575683594
2022-09-29,81.77067565917969,35.70982360839844
2022-09-30,79.35882568359375,35.271331787109375
2022-10-03,83.54325103759766,37.55337905883789
2022-10-04,86.60408020019531,38.60862350463867
2022-10-05,86.42005920410156,38.53923797607422
2022-10-06,85.35457611083984,38.316619873046875
2022-10-07,80.00778198242188,36.12324905395508
2022-10-10,76.70481872558594,33.798805236816406
2022-10-11,73.90550994873047,31.517742156982422
2022-10-12,73.62462615966797,31.221881866455078
2022-10-13,76.92760467529297,32.82451248168945
2022-10-14,72.47196197509766,30.35166358947754
2022-10-17,72.0748291015625,30.396953582763672
2022-10-18,72.86910247802734,31.036849975585938
2022-10-19,74.83540344238281,31.809738159179688
2022-10-20,76.19145202636719,34.29511260986328
2022-10-21,79.83345794677734,35.58839797973633
2022-10-24,82.27437591552734,36.03844451904297
2022-10-25,84.78308868408203,36.607025146484375
2022-10-26,85.37393951416016,37.160186767578125
2022-10-27,83.82415771484375,37.49843978881836
2022-10-28,86.90434265136719,39.08662033081055
2022-10-31,85.51923370361328,39.00856018066406
2022-11-01,86.97216033935547,39.77277374267578
2022-11-02,85.005859375,38.11617660522461
2022-11-03,83.59168243408203,37.91379928588867
2022-11-04,88.82221221923828,40.43098068237305
2022-11-07,92.05741119384766,41.91796875
2022-11-08,94.40145111083984,42.87105941772461
2022-11-09,91.41810607910156,41.70305252075195
2022-11-10,101.50141143798828,46.77885055541992
2022-11-11,107.0613021850586,48.263912200927734
2022-11-14,104.23291778564453,46.324947357177734
2022-11-15,106.99346923828125,47.292510986328125
2022-11-16,100.9493179321289,43.88486099243164
2022-11-17,101.1720962524414,44.44188690185547
2022-11-18,101.41424560546875,44.01206970214844
2022-11-21,101.8404312133789,43.380855560302734
2022-11-22,103.68080139160156,43.907997131347656
2022-11-23,104.54498291015625,44.46501922607422
2022-11-25,102.74867248535156,43.679603576660156
2022-11-28,100.46688842773438,42.7139778137207
2022-11-29,100.2532730102539,42.60026168823242
2022-11-30,106.4189682006836,45.523162841796875
2022-12-01,103.90412902832031,44.632694244384766
2022-12-02,103.61283874511719,44.10555648803711
2022-12-05,103.34095001220703,43.6169548034668
2022-12-06,101.67089080810547,42.70048904418945
2022-12-07,103.03025817871094,42.81516647338867
2022-12-08,105.45769500732422,43.84825134277344
2022-12-09,104.22455596923828,43.385677337646484
2022-12-12,106.19564056396484,44.744483947753906
2022-12-13,108.6230697631836,46.03727722167969
2022-12-14,106.45780944824219,45.29246520996094
2022-12-15,101.52523803710938,43.147003173828125
2022-12-16,101.6903076171875,42.94000244140625
2022-12-19,100.97178649902344,42.43411636352539
2022-12-20,100.49600982666016,42.30546569824219
2022-12-21,102.82635498046875,43.322086334228516
2022-12-22,94.76725006103516,39.57286834716797
2022-12-23,94.39828491210938,39.864017486572266
2022-12-27,92.57284545898438,39.21979904174805
2022-12-28,91.49506378173828,38.96250915527344
2022-12-29,94.32060241699219,40.68525314331055
2022-12-30,94.55363464355469,40.65525817871094
2023-01-03,93.9225082397461,40.07489013671875
2023-01-04,96.4276123046875,40.864200592041016
2023-01-05,95.07796478271484,40.341861724853516
2023-01-06,101.24365997314453,43.07059860229492
2023-01-09,103.39920806884766,43.763179779052734
2023-01-10,104.90423583984375,44.360958099365234
2023-01-11,106.86561584472656,44.91134262084961
2023-01-12,107.00153350830078,45.46657943725586
2023-01-13,106.77822875976562,45.81769561767578
2023-01-17,106.23448181152344,45.5584716796875
2023-01-18,106.51605987548828,45.161869049072266
2023-01-19,103.07880401611328,43.90439987182617
2023-01-20,106.46751403808594,45.70452880859375
2023-01-23,110.84661102294922,47.47274398803711
2023-01-24,109.7105712890625,47.15546798706055
2023-01-25,110.64270782470703,47.24251937866211
2023-01-26,112.22541046142578,48.146942138671875
2023-01-27,109.23479461669922,46.70857238769531
2023-01-30,105.05960845947266,46.29747009277344
2023-01-31,108.25410461425781,48.374244689941406
2023-02-01,115.55583953857422,51.29159927368164
2023-02-02,120.65348052978516,52.33434295654297
2023-02-03,116.49771118164062,51.19390106201172
2023-02-06,114.27416229248047,50.39105987548828
2023-02-07,117.02201843261719,51.57986068725586
2023-02-08,112.58465576171875,50.09699630737305
2023-02-09,112.71087646484375,49.865814208984375
2023-02-10,111.43889617919922,48.84822082519531
2023-02-13,113.1478042602539,49.35991668701172
